Date,Last Price
10/31/1974,158.78
11/29/1974,181.66
12/31/1974,183.85
1/31/1975,175.8
2/28/1975,181.75
3/31/1975,178.16
4/30/1975,167
5/30/1975,167
6/30/1975,166.25
7/31/1975,166.7
8/29/1975,159.8
9/30/1975,141.25
10/31/1975,142.9
11/28/1975,138.15
12/31/1975,140.25
1/30/1976,128.15
2/27/1976,132.3
3/31/1976,129.6
4/30/1976,128.4
5/31/1976,125.5
6/30/1976,123.8
7/30/1976,112.5
8/31/1976,104
9/30/1976,116
10/29/1976,123.15
11/30/1976,130.25
12/31/1976,134.5
1/31/1977,132.3
2/28/1977,142.75
3/31/1977,148.9
4/29/1977,147.25
5/31/1977,142.95
6/30/1977,143
7/29/1977,144.1
8/31/1977,146
9/30/1977,154.05
10/31/1977,161.5
11/30/1977,160.05
12/30/1977,164.95
1/31/1978,175.75
2/28/1978,182.25
3/31/1978,181.6
4/28/1978,170.85
5/31/1978,184.15
6/30/1978,183.05
7/31/1978,200.25
8/31/1978,208.7
9/29/1978,217.1
10/31/1978,242.6
11/30/1978,193.4
12/29/1978,226
1/31/1979,233.7
2/28/1979,251.3
3/30/1979,240.1
4/30/1979,245.3
5/31/1979,274.6
6/29/1979,277.5
7/31/1979,296.45
8/31/1979,315.1
9/28/1979,397.25
10/31/1979,382
11/30/1979,415.65
12/31/1979,512
1/31/1980,653
2/29/1980,637
3/31/1980,494.5
4/30/1980,518
5/30/1980,535.5
6/30/1980,653.5
7/31/1980,614.25
8/29/1980,631.25
9/30/1980,666.75
10/31/1980,629
11/28/1980,619.75
12/31/1980,589.75
1/30/1981,506.5
2/27/1981,489
3/31/1981,513.75
4/30/1981,482.75
5/29/1981,479.25
6/30/1981,426
7/31/1981,406
8/31/1981,425.5
9/30/1981,428.75
10/30/1981,427
11/30/1981,414.5
12/31/1981,397.5
1/29/1982,387
2/26/1982,362.6
3/31/1982,320
4/30/1982,361.25
5/31/1982,325.25
6/30/1982,317.5
7/30/1982,342.9
8/31/1982,411.5
9/30/1982,397
10/29/1982,423.25
11/30/1982,436
12/31/1982,456.9
1/31/1983,499.5
2/28/1983,408.5
3/31/1983,414.75
4/29/1983,429.25
5/31/1983,437.5
6/30/1983,416
7/29/1983,422
8/31/1983,414.25
9/30/1983,405
10/31/1983,382
11/30/1983,405
12/30/1983,382.4
1/31/1984,373.75
2/29/1984,394.25
3/30/1984,388.5
4/30/1984,375.8
5/31/1984,384.25
6/29/1984,373.05
7/31/1984,342.35
8/31/1984,348.25
9/28/1984,343.75
10/31/1984,333.5
11/30/1984,329
12/31/1984,309
1/31/1985,306.65
2/28/1985,287.75
3/29/1985,329.25
4/30/1985,321.35
5/31/1985,314
6/28/1985,317.75
7/31/1985,327.5
8/30/1985,333.25
9/30/1985,326.5
10/31/1985,325.1
11/29/1985,325.3
12/31/1985,326.8
1/31/1986,350.5
2/28/1986,338.15
3/31/1986,344
4/30/1986,345.75
5/30/1986,343.2
6/30/1986,345.5
7/31/1986,357.5
8/29/1986,384.7
9/30/1986,423.2
10/31/1986,401
11/28/1986,383.5
12/31/1986,388.75
1/30/1987,400.5
2/27/1987,405.85
3/31/1987,420.32
4/30/1987,453.25
5/29/1987,451
6/30/1987,447.3
7/31/1987,462.5
8/31/1987,453.4
9/30/1987,459.5
10/30/1987,468.8
11/30/1987,492.5
12/31/1987,484.1
1/29/1988,458
2/29/1988,426.15
3/31/1988,456.95
4/29/1988,449
5/31/1988,455.5
6/30/1988,436.55
7/29/1988,436.8
8/31/1988,427.75
9/30/1988,397.7
10/31/1988,412.4
11/30/1988,422.6
12/30/1988,410.25
1/31/1989,394
2/28/1989,387
3/31/1989,383.2
4/28/1989,377.55
5/31/1989,361.8
6/30/1989,373
7/31/1989,368.3
8/31/1989,359.8
9/29/1989,366.5
10/31/1989,375.3
11/30/1989,408.15
12/29/1989,401.25
1/31/1990,415.05
2/28/1990,407.7
3/30/1990,368.5
4/30/1990,367.75
5/31/1990,363.05
6/29/1990,352.2
7/31/1990,372.3
8/31/1990,387.75
9/28/1990,408.4
10/31/1990,379.5
11/30/1990,384.85
12/31/1990,382.8
1/31/1991,366
2/28/1991,362.7
3/29/1991,355.65
4/30/1991,357.75
5/31/1991,360.4
6/28/1991,368.35
7/31/1991,362.85
8/30/1991,347.4
9/30/1991,354.9
10/31/1991,357.45
11/29/1991,366.3
12/31/1991,353.15
1/31/1992,354.1
2/28/1992,353.75
3/31/1992,341.7
4/30/1992,336.35
5/29/1992,337.5
6/30/1992,343.4
7/31/1992,357.85
8/31/1992,342
9/30/1992,350
10/30/1992,341
11/30/1992,336
12/31/1992,334.5
1/29/1993,332.5
2/26/1993,329.5
3/31/1993,339
4/30/1993,356
5/31/1993,374.75
6/30/1993,378.1
7/30/1993,407.3
8/31/1993,372.1
9/30/1993,355.4
10/29/1993,369.5
11/30/1993,370.7
12/31/1993,390.7
1/31/1994,381.9
2/28/1994,381.75
3/31/1994,391
4/29/1994,377.05
5/31/1994,387.3
6/30/1994,386.3
7/29/1994,383.6
8/31/1994,386.6
9/30/1994,394.25
10/31/1994,384.5
11/30/1994,381.4
12/30/1994,383.2
1/31/1995,375.1
2/28/1995,377.1
3/31/1995,391.4
4/28/1995,387.1
5/31/1995,384.3
6/30/1995,384.6
7/31/1995,382.6
8/31/1995,382.75
9/29/1995,384
10/31/1995,383
11/30/1995,387.8
12/29/1995,387.1
1/31/1996,406.3
2/29/1996,400.75
3/29/1996,395.45
4/30/1996,391.65
5/31/1996,391
6/28/1996,380.45
7/31/1996,387.05
8/30/1996,386.5
9/30/1996,378.4
10/31/1996,378.05
11/29/1996,371.65
12/31/1996,367.7
1/31/1997,344.35
2/28/1997,363.45
